sample	gisaid_epi_isl	genbank_accession
England/MILK-DAD642/2020	EPI_ISL_797306	?
England/NEWC-1F3E4CF/2021	EPI_ISL_4733829	?
England/PHEC-W30AW21C/2021	EPI_ISL_4119904	?
England/PLYM-18053BC/2021	EPI_ISL_2848167	?
England/PLYM-1BE73DB/2021	EPI_ISL_3579709	?
England/RAND-14ADEE6/2021	EPI_ISL_1505497	?
France/ARA-ALPIGENE-2107270102/2021	EPI_ISL_11373056	?
France/BFC-CERBAHC-AH3J52BGXJ-S88/2021	EPI_ISL_2400500	?
France/BRE-ERFB-2068761406/2021	EPI_ISL_11990530	?
France/HDF-IPP13310/2021	EPI_ISL_2535462	?
France/NOR-10816164/2021	EPI_ISL_5061943	?
France/PDL-IPP10733/2021	EPI_ISL_2029732	?
Germany/HE-RKI-I-221417/2021	EPI_ISL_4041488	?
Germany/MV-UMG-18330621/2021	EPI_ISL_17301581	?
Germany/NW-RKI-I-170977/2021	EPI_ISL_2470826	?
Germany/SN-RKI-I-1046979/2021	EPI_ISL_16140309	?
Germany/TH-RKI-I-044749/2021	EPI_ISL_1352172	?
Germany/TH-RKI-I-045333/2021	EPI_ISL_1352757	?
Germany/un-RKI-I-069883/2021	EPI_ISL_1574024	?
Germany/un-RKI-I-077318/2021	EPI_ISL_1642966	?
Hungary/MH-13211/2020	EPI_ISL_526225	?
India/DL-DM-A-1/2020	EPI_ISL_2158588	?
India/PY-COV241203_S450_R1_001/2021	EPI_ISL_5886096	?
India/WB-1931501108656/2021	EPI_ISL_2548713	?
Israel/CVL-17890/2021	EPI_ISL_5731959	?
Italy/LOM-Varese60158719/2021	EPI_ISL_17715537	?
Japan/PG-112635/2021	EPI_ISL_4719427	?
Japan/PG-139439/2021	EPI_ISL_5721886	?
Japan/PG-46673/2021	EPI_ISL_2330802	?
Japan/PG-49615/2021	EPI_ISL_2810994	?
Japan/PG-71188/2021	EPI_ISL_3190426	?
Japan/PG-99978/2021	EPI_ISL_4696445	?
Laos/LOMWRU-1642/2021	EPI_ISL_18001241	?
Latvia/5177/2021	EPI_ISL_8515010	?
Mexico/NLE_INER_IMSS_1654/2021	EPI_ISL_3556925	?
Netherlands/FR-RIVM-56368/2021	EPI_ISL_4076031	?
Netherlands/NB-RIVM-26325/2021	EPI_ISL_1705798	?
